unit_id,session_length,session_fr,percent_trials_w_spikes,background_forward_align_mean_fr,background_forward_align_sem_fr,background_forward_align_max_fr,background_forward_align_max_fr_time,background_forward_align_min_fr,background_forward_align_min_fr_time,background_backward_align_mean_fr,background_backward_align_sem_fr,background_backward_align_max_fr,background_backward_align_max_fr_time,background_backward_align_min_fr,background_backward_align_min_fr_time,wait_forward_align_mean_fr,wait_forward_align_sem_fr,wait_forward_align_max_fr,wait_forward_align_max_fr_time,wait_forward_align_min_fr,wait_forward_align_min_fr_time,wait_backward_align_mean_fr,wait_backward_align_sem_fr,wait_backward_align_max_fr,wait_backward_align_max_fr_time,wait_backward_align_min_fr,wait_backward_align_min_fr_time,consumption_forward_align_mean_fr,consumption_forward_align_sem_fr,consumption_forward_align_max_fr,consumption_forward_align_max_fr_time,consumption_forward_align_min_fr,consumption_forward_align_min_fr_time
RZ049_2024-10-30_probe-1-unit_0,2565.0565251602798,8.39708590774783,1.0,8.242538722302553,0.7281208368465446,8.681516530743611,0.7500000000000001,7.68898681386743,1.55,8.042356829977638,0.7411531341933162,9.08331399915679,-1.5500000000000227,6.419094838492839,0.04999999999997158,7.231566663414072,0.7440962710996988,10.07523728019196,8.250000000000002,4.242636101246574,21.85,6.791170404312003,0.7091157110861467,9.453322549574326,-0.04999999999929798,4.328510343311242,-19.34999999999957,11.565238324506499,0.7681428203975142,12.38095182907319,0.6500000000000001,8.054090925966285,3.05
RZ038_2024-07-18_probe-2-unit_0,3799.301930414544,5.794748720483455,1.0,5.468065964631166,0.7975157135398392,8.276732207575836,0.05,3.6764481199108303,8.05,7.2033456616022,1.0053914007622626,17.723629808858778,-9.050000000000011,3.426518957669912,0.049999999999955594,5.2100932855362325,0.755476317976876,10.073387808654065,22.35,1.3849968804508697,20.35,4.718356174058427,0.7218920319111738,9.89077509529471,-0.2499999999993719,2.138489690315747,-18.44999999999963,10.162953109411372,1.1197709688159714,13.893108945571484,0.5500000000000002,6.296880462660121,3.05
RZ038_2024-07-18_probe-2-unit_1,3799.301930414544,3.9330909397794453,1.0,3.9398706977533355,0.5503733506201344,6.274259597870659,0.05,2.415340109850739,9.05,4.9189776132348655,0.6417529897374594,7.857200070512887,-6.050000000000023,2.3391368209246615,0.049999999999955594,2.8139993187716277,0.5283260341973294,5.041866952314108,21.35,0.5945851132470913,22.35,2.123951918412153,0.3956802473200399,10.621457337799221,-0.049999999999369035,0.17048847816027238,-20.249999999999655,9.787163285666779,0.8811234264070209,13.579010345273554,0.9500000000000001,4.776793402644114,3.05
RZ038_2024-07-18_probe-2-unit_2,3799.301930414544,9.378038558812932,1.0,9.456046434502621,1.177869198133638,11.220192845268086,7.15,6.890223489504139,8.850000000000001,9.83141630806948,1.2429390416110966,11.802377079300882,-8.450000000000014,7.071051937953111,0.049999999999955594,8.843240859031825,1.175310423796155,17.185906939194858,22.35,3.9025154284874373,16.45,8.35700546480684,1.1151095966586428,15.155068493630749,-0.049999999999369035,4.34484468941073,-18.54999999999963,12.263052876621215,1.2818627687630288,19.048716810830324,0.5500000000000002,6.515313428210257,3.05
RZ038_2024-07-18_probe-2-unit_3,3799.301930414544,12.838411080079101,1.0,13.504256742111103,1.3483047678329594,15.94842043054036,8.350000000000001,12.17276698545965,1.25,13.527486569524065,1.3620241938565398,21.19903967119103,-6.150000000000023,9.607288468583405,0.049999999999955594,10.373579117022944,1.1370631031042735,14.605331733899682,3.4499999999999997,3.340949126857321,20.75,10.91637270574571,1.2266084101924746,19.03671150839523,-0.049999999999369035,4.80236849973389,-22.349999999999685,20.31759228466911,1.523836571210017,27.991427908760315,0.05,12.693930743975683,3.05
RZ038_2024-07-18_probe-2-unit_4,3799.301930414544,5.238330715618719,1.0,5.741314812553813,0.7969416765551653,9.167891852148834,0.05,2.827879417243934,5.65,6.08440164226433,0.818658693856195,10.919938939904863,-5.350000000000025,1.8271039848195623,0.049999999999955594,2.519986523263338,0.4619769324661657,4.5005161737757735,21.650000000000002,0.9190058029817194,20.35,2.3411985884962276,0.4361217484495536,5.472022024043906,-0.049999999999369035,1.43936457440025,-20.44999999999966,14.767209843698037,1.1611255729560537,23.648430652985667,0.8500000000000001,6.3661212455112635,3.05
RZ038_2024-07-18_probe-2-unit_5,3799.301930414544,8.527882382978921,1.0,9.51444038366039,0.9890672554865323,12.364165822975266,0.05,6.840197090758463,5.050000000000001,10.43073887087699,1.0829325681561497,15.31871115461603,-6.050000000000023,4.6311197635904,0.049999999999955594,5.823274549323508,0.7512802199415934,8.562456590332893,4.550000000000001,2.8850290158290486,22.150000000000002,5.334961213594397,0.7031499447377229,16.328642013653052,-0.049999999999369035,3.0113703886539374,-16.2499999999996,17.357831725972726,1.1718954123377339,22.3565083048179,0.7500000000000001,10.423580968501517,3.05
RZ038_2024-07-18_probe-2-unit_6,3799.301930414544,6.614636177982817,1.0,5.590988701987008,0.7864139729630039,7.232190813618212,6.050000000000001,4.363551367023101,7.95,6.678399789708683,0.8616774776440266,11.22157493213237,-6.4500000000000215,3.3222288649718696,0.049999999999955594,4.528580966675292,0.6723521412824657,7.765179762970421,16.05,1.6818782907327132,22.35,3.6467984588526052,0.5667418391800002,13.389911081205755,-0.049999999999369035,1.6019084338057379,-15.049999999999581,17.560691719321582,1.3443394307690586,30.92878318099838,0.45,5.931550080542252,3.05
RZ038_2024-07-18_probe-2-unit_7,3799.301930414544,7.101567733801058,1.0,7.912527833801581,0.8118549300969201,10.132723335157884,0.05,6.311248328492541,8.150000000000002,8.100741168337535,0.8378242922285954,10.525258021390169,-4.950000000000027,4.892499560103572,0.049999999999955594,6.14696657877667,0.7279087256370157,8.916904170484306,10.050000000000002,3.5111082926456314,22.35,5.796587735218379,0.685133864393899,9.789679673745583,-0.2499999999993719,3.459143486813814,-18.749999999999634,11.363485201197205,0.9489696677712346,14.858585905639728,0.7500000000000001,7.597603578411938,3.05
RZ038_2024-07-18_probe-2-unit_8,3799.301930414544,25.480733506598963,1.0,28.935283515425844,1.8636678047240955,31.456641279398397,3.65,25.57802278280513,1.1500000000000001,27.76511499001442,1.7919614436365032,31.548443558846902,-0.8500000000000412,22.179123028772334,0.049999999999955594,21.17905428841709,1.642804631720665,29.117786370521515,0.05,14.189519489269092,21.650000000000002,22.02245030160967,1.6705827279687953,35.281233874663684,-0.049999999999369035,14.510776063991125,-20.849999999999664,30.156301962088463,1.611130670697329,35.858195687571765,0.05,22.805352899612423,3.05
RZ038_2024-07-18_probe-2-unit_9,3799.301930414544,15.612604917011133,1.0,14.129171095555435,1.037764189304361,15.036803203376161,2.9499999999999997,12.317308091967302,8.450000000000001,14.549957553267706,1.094761376178109,16.644035409934926,-6.250000000000022,10.048669079496081,0.049999999999955594,14.309442035560247,1.2031479065525978,17.297609871037324,11.050000000000002,11.914193694054537,2.85,14.654537927550484,1.2132778179259167,18.109973053446375,-22.349999999999685,10.479054439190083,-1.1499999999993846,19.580977718656467,1.1094772366874732,27.751739513232835,0.05,12.436471638420088,3.05
RZ038_2024-07-18_probe-2-unit_10,3799.301930414544,12.950010528547713,1.0,14.262269470304858,1.2701225562992202,27.435731715481662,0.05,11.583340089168216,2.65,15.009542212197221,1.4025991593604896,19.82087981623374,-5.350000000000025,10.080753900099243,0.049999999999955594,12.020503098990543,1.200798720474782,16.200568029432425,0.45,8.276317545272097,22.35,12.67027584230613,1.256737281832566,16.91706618143539,-19.94999999999965,9.72662088698134,-16.2499999999996,10.121383438643168,0.9927104030896042,12.302992914747607,1.05,7.4680800205337095,0.05
RZ038_2024-07-18_probe-2-unit_11,3799.301930414544,10.942799693591008,1.0,11.192533065445275,1.0286147623260598,13.327367418747597,9.05,8.813981797050774,8.05,11.379508678740592,1.0743712499676514,13.191914194709717,-8.150000000000015,7.6393896517607605,0.049999999999955594,11.104353990796684,1.1273038401934201,16.522569478878594,22.35,9.12059592915461,16.55,11.129786246361432,1.1095014952711184,13.88220546603489,-21.24999999999967,8.466640074627819,-16.649999999999604,8.290655138011305,0.8745428812304326,10.310080285482144,0.8500000000000001,6.821256143625198,1.75
